label;LE_max;S_max
1;0.000322556;65.564
2;0.000394751;81.9723
3;0.000444873;93.058
4;0.000484158;101.419
5;0.000515079;108.043
6;0.000540515;113.399
7;0.000561231;117.794
8;0.000578472;121.419
9;0.000592733;124.436
10;0.000604749;126.961
11;0.000614831;129.091
12;0.000623418;130.894
13;0.000630693;132.429
14;0.000636925;133.738
15;0.000642225;134.856
16;0.000646767;135.809
17;0.000650625;136.623
18;0.000653918;137.314
19;0.0006567;137.901
20;0.000659057;138.396
21;0.000661028;138.811
22;0.000662678;139.158
23;0.000664038;139.444
24;0.000665156;139.679
25;0.000666057;139.869
26;0.000666778;140.021
27;0.000667338;140.139
28;0.000667765;140.229
29;0.000668076;140.294
30;0.00066829;140.34
31;0.000668421;140.367
32;0.000668484;140.381
33;0.000668491;140.382
34;0.000668453;140.375
35;0.000668383;140.36
36;0.000668289;140.341
37;0.000668186;140.319
38;0.000668082;140.298
39;0.000668002;140.281
40;0.000667955;140.272
41;0.0003086;61.9949
42;0.000384748;79.9543
43;0.000442031;92.706
44;0.000484654;101.713
45;0.000517019;108.594
46;0.000542873;113.973
47;0.00056334;118.291
48;0.000580268;121.823
49;0.000594161;124.757
50;0.000605915;127.217
51;0.000615768;129.298
52;0.0006242;131.065
53;0.000631345;132.572
54;0.000637482;133.86
55;0.000642701;134.96
56;0.000647179;135.899
57;0.000650982;136.701
58;0.000654229;137.382
59;0.000656972;137.96
60;0.000659293;138.447
61;0.000661235;138.856
62;0.000662857;139.197
63;0.000664195;139.478
64;0.000665292;139.709
65;0.000666175;139.895
66;0.000666879;140.043
67;0.000667426;140.158
68;0.00066784;140.245
69;0.00066814;140.308
70;0.000668344;140.351
71;0.000668466;140.377
72;0.000668521;140.389
73;0.00066852;140.389
74;0.000668475;140.379
75;0.000668397;140.363
76;0.000668297;140.342
77;0.000668186;140.319
78;0.00066808;140.297
79;0.000668001;140.28
80;0.000667959;140.272
81;0.000309637;61.6323
82;0.000380599;78.9255
83;0.000437216;91.8648
84;0.000482705;101.481
85;0.000516769;108.653
86;0.00054332;114.145
87;0.000564079;118.489
88;0.000580981;122.004
89;0.000594805;124.91
90;0.000606441;127.342
91;0.000616212;129.401
92;0.000624563;131.15
93;0.000631654;132.644
94;0.000637742;133.92
95;0.000642927;135.012
96;0.000647373;135.944
97;0.000651152;136.74
98;0.000654377;137.416
99;0.000657101;137.989
100;0.000659406;138.473
101;0.000661334;138.879
102;0.000662944;139.217
103;0.000664271;139.496
104;0.000665358;139.724
105;0.000666233;139.908
106;0.00066693;140.054
107;0.000667469;140.168
108;0.000667878;140.254
109;0.000668172;140.315
110;0.000668371;140.357
111;0.000668488;140.382
112;0.000668539;140.393
113;0.000668534;140.392
114;0.000668486;140.382
115;0.000668405;140.365
116;0.000668301;140.343
117;0.00066819;140.319
118;0.000668084;140.297
119;0.000668004;140.28
120;0.000667961;140.272
121;0.000309637;61.6323
122;0.000380599;78.9255
123;0.000437216;91.8648
124;0.000482706;101.481
125;0.000516769;108.653
126;0.00054332;114.145
127;0.000564079;118.489
128;0.000580982;122.004
129;0.000594805;124.91
130;0.000606441;127.342
131;0.000616212;129.401
132;0.000624563;131.15
133;0.000631654;132.644
134;0.000637742;133.92
135;0.000642927;135.012
136;0.000647373;135.944
137;0.000651152;136.74
138;0.000654377;137.416
139;0.000657101;137.989
140;0.000659406;138.473
141;0.000661334;138.879
142;0.000662944;139.217
143;0.000664271;139.496
144;0.000665358;139.724
145;0.000666233;139.908
146;0.00066693;140.054
147;0.000667469;140.168
148;0.000667878;140.254
149;0.000668172;140.315
150;0.000668371;140.357
151;0.000668488;140.382
152;0.000668539;140.393
153;0.000668534;140.392
154;0.000668486;140.382
155;0.000668405;140.365
156;0.000668301;140.343
157;0.00066819;140.319
158;0.000668084;140.297
159;0.000668004;140.28
160;0.000667961;140.272
161;0.000308599;61.9949
162;0.00038475;79.9543
163;0.00044203;92.706
164;0.000484655;101.713
165;0.000517018;108.594
166;0.000542874;113.973
167;0.000563339;118.291
168;0.000580268;121.823
169;0.000594161;124.757
170;0.000605916;127.217
171;0.000615768;129.298
172;0.000624201;131.065
173;0.000631345;132.572
174;0.000637482;133.86
175;0.000642701;134.96
176;0.000647179;135.899
177;0.000650982;136.701
178;0.000654229;137.382
179;0.000656972;137.96
180;0.000659293;138.447
181;0.000661235;138.856
182;0.000662857;139.197
183;0.000664195;139.478
184;0.000665292;139.709
185;0.000666175;139.895
186;0.00066688;140.043
187;0.000667426;140.158
188;0.00066784;140.245
