label;LE_max;S_max
1;5.02018e-05;10.1318
2;0.000144218;29.091
3;0.000225607;45.391
4;0.000295003;59.4388
5;0.00035122;70.8203
6;0.000396397;79.9587
7;0.000437395;88.4767
8;0.000469693;95.2326
9;0.000495312;100.585
10;0.000516427;105.042
11;0.000532732;108.516
12;0.000545904;111.343
13;0.000555918;113.514
14;0.000563724;115.217
15;0.000569338;116.451
16;0.000573188;117.306
17;0.000575366;117.79
18;0.000576118;117.96
19;0.000575343;117.787
20;0.000573181;117.306
21;0.00056938;116.459
22;0.00056389;115.245
23;0.00055623;113.566
24;0.00054612;111.374
25;0.000532913;108.531
26;0.000516217;104.981
27;0.00049508;100.51
28;0.000468691;94.9991
29;0.000435808;88.205
30;0.000397245;80.2656
31;0.000350301;70.6642
32;0.000294757;59.3713
33;0.000228513;46.0208
34;0.000142357;28.7109
35;5.00943e-05;10.1503
36;8.91896e-05;18.222
37;0.000171792;34.4141
38;0.000241244;48.2534
39;0.000301817;60.37
40;0.000351765;70.5035
41;0.000395158;79.3989
42;0.000432002;86.8938
43;0.000462846;93.2869
44;0.00048753;98.466
45;0.000507646;102.703
46;0.000524044;106.188
47;0.000536938;108.951
48;0.000547245;111.175
49;0.000555039;112.868
50;0.000560884;114.147
51;0.000564822;115.011
52;0.00056716;115.529
53;0.000567892;115.689
54;0.000567171;115.531
55;0.000564849;115.016
56;0.000560954;114.158
57;0.000555171;112.889
58;0.000547389;111.195
59;0.000537092;108.969
60;0.000524004;106.17
61;0.000507482;102.658
62;0.000487008;98.3545
63;0.000461671;93.0787
64;0.000431434;86.8269
65;0.000395063;79.3641
66;0.000352272;70.6302
67;0.000301952;60.4463
68;0.000241439;48.2597
69;0.000172252;34.5413
70;8.85216e-05;18.1692
71;0.0001274;26.4427
72;0.000192876;39.0284
73;0.000254535;51.0384
74;0.000307277;61.4969
75;0.000353804;70.8053
76;0.000393303;78.7641
77;0.000427148;85.6904
78;0.000455848;91.5699
79;0.000479785;96.5343
80;0.000499257;100.618
81;0.000515187;103.979
82;0.000528095;106.726
83;0.00053826;108.903
84;0.000546215;110.618
85;0.000552057;111.883
86;0.000556141;112.773
87;0.000558491;113.284
88;0.000559301;113.463
89;0.000558505;113.287
90;0.000556177;112.778
91;0.000552117;111.892
92;0.000546291;110.628
93;0.000538339;108.912
94;0.000528103;106.721
95;0.000515097;103.954
96;0.000498988;100.562
97;0.00047915;96.4188
98;0.000455334;91.4884
99;0.000426772;85.6204
100;0.000393195;78.7766
101;0.000353842;70.8247
102;0.000307807;61.5941
103;0.000254517;51.0703
104;0.000193013;39.0621
105;0.000127542;26.4197
106;0.000163144;34.053
107;0.000213304;43.6241
108;0.000265227;53.588
109;0.000312954;62.8636
110;0.000354517;71.0532
111;0.000391006;78.3422
112;0.000422464;84.6587
113;0.000449281;90.1218
114;0.000471938;94.7651
